v,p_r,R0_true,MeanR0,LowerCI,UpperCI
0,0.002,2,2.0238,2.0012,2.0467
1,0.002,2,1.9423,1.8949,1.9898
2,0.002,2,1.8465,1.8004,1.9124
3,0.002,2,1.8942,1.8232,1.9615
0,0.004,2,2.0169,1.9964,2.0382
1,0.004,2,1.9629,1.9269,2
2,0.004,2,1.9321,1.8879,1.9766
3,0.004,2,1.8854,1.8271,1.9385
0,0.006,2,2.0234,2.0058,2.0416
1,0.006,2,1.96,1.9277,1.994
2,0.006,2,1.9352,1.8931,1.9764
3,0.006,2,1.9241,1.8774,1.9705
0,0.008,2,2.0209,2.0035,2.0389
1,0.008,2,1.955,1.9225,1.9885
2,0.008,2,1.9692,1.9318,2.0077
3,0.008,2,1.9176,1.8769,1.9586
0,0.01,2,2.0203,2.0032,2.0373
1,0.01,2,1.9825,1.9505,2.0142
2,0.01,2,1.9568,1.9223,1.9937
3,0.01,2,1.9366,1.8988,1.9751
0,0.015,2,2.0185,2.0023,2.0349
1,0.015,2,1.9994,1.9714,2.0279
2,0.015,2,1.9635,1.9328,1.9961
3,0.015,2,1.9451,1.9095,1.9807
0,0.0185,2,2.0194,2.00421,2.0346
1,0.0185,2,1.9924,1.9659,2.02
2,0.0185,2,1.9714,1.9432,2.0007
3,0.0185,2,1.9707,1.9383,2.0039
0,0.02,2,2.0193,2.0043,2.0346
1,0.02,2,1.9974,1.9699,2.0248
2,0.02,2,1.9756,1.9454,2.0061
3,0.02,2,1.9682,1.9352,2.0028
