v,p_r,v_true,MeanV,LowerCI,UpperCI,
0,0.002,0,0.0291,0.0007,0.1018,
1,0.002,1,0.49535,0.2349,0.7367,
2,0.002,2,,,,
3,0.002,3,,,,
0,0.004,0,,,,
1,0.004,1,,,,
2,0.004,2,,,,
3,0.004,3,,,,
0,0.006,0,,,,
1,0.006,1,,,,
2,0.006,2,,,,
3,0.006,3,,,,
0,0.008,0,,,,
1,0.008,1,,,,
2,0.008,2,,,,
3,0.008,3,,,,
0,0.01,0,,,,
1,0.01,1,,,,
2,0.01,2,,,,
3,0.01,3,,,,
0,0.015,0,0.02516,0.00071,0.0878,
1,0.015,1,0.8659,0.7271,1.0079,
2,0.015,2,1.2453,1.0227,1.5018,
3,0.015,3,1.3745,1.0837,1.7302,
0,0.0185,0,,,,
1,0.0185,1,,,,
2,0.0185,2,,,,
3,0.0185,3,,,,
0,0.02,0,,,,
1,0.02,1,,,,
2,0.02,2,,,,
3,0.02,3,,,,
